lang,type,title,url,slug,date,seo_title,seo_desc,target_kw,og_title,og_img
en,page,Conflict conversations,https://theglobal.school/conflict-conversations/,conflict-conversations,2023-10-29 17:35:19,,,,,https://theglobal.school/wp-content/uploads/2023/10/Conflict.webp
en,page,Contributions,https://theglobal.school/contributions/,contributions,2017-12-19 22:30:51,,,,,
en,page,Decision Making,https://theglobal.school/decision-making/,decision-making,2021-05-17 10:16:33,,,,,
en,page,Digital Innovation Toolbox,https://theglobal.school/digital-innovation-toolbox/,digital-innovation-toolbox,2023-03-14 09:13:04,,"Digital Innovation Toolbox. More than 1,000 tools for leaders and founders: Artificial Intelligence AI, Business, Productivity, etc.",Digital Innovation Toolbox,Digital Innovation Toolbox,
en,page,Environmental Management Systems Based ISO 14001,https://theglobal.school/environmental-management-systems-based-iso-14001/,environmental-management-systems-based-iso-14001,2023-07-10 10:00:41,%%title%% %%page%%,ISO Certifications in Sustainability. ISOO 14001 Environmental Management Systems Based ISO 14001. 100% Recognised.,Environmental Management Systems Based ISO 14001,,
en,page,The Global School for Social Leaders Europe,https://theglobal.school/europe/,europe,2022-01-28 20:54:47,,,,,
en,page,"The New Global School. Communities, Events &amp; Education.",https://theglobal.school/event-organizations-academy-communities/,event-organizations-academy-communities,2025-01-22 21:23:59,,,,,
en,page,Executive & Educational Trips for Governments & Companies,https://theglobal.school/executive-educational-trips-for-governments-companies/,executive-educational-trips-for-governments-companies,2023-05-05 13:08:16,%%title%% %%page%%,Executive & Educational Trips for Governments & Companies.,Executive & Educational Trips,Executive & Educational Trips,
en,page,Finding your purpose,https://theglobal.school/finding-your-purpose/,finding-your-purpose,2020-09-06 09:07:04,,,,,
en,page,Regional Partners & Franchises,https://theglobal.school/franchises-theglobal-school/,franchises-theglobal-school,2021-02-16 19:55:44,%%title%% %%page%%,The Global School for New Leadership is a multi-awarded NGO with HQ in Vienna & Berlin. Regional Partners & Franchises.,Regional Partners & Franchises,Regional Partners & Franchises,https://theglobal.school/wp-content/uploads/2018/01/P1230494_LATINOMICS_FB-edited-PAGE.jpg
en,page,Global Consultants & Educators,https://theglobal.school/global-consultants/,global-consultants,2018-02-02 09:42:05,%%title%% %%page%% %%sep%% The Global Community,"A global community of Consultants & Educators working on Sustainable Development, Leadership, Social Innovation & Climate Justice.",Consultants & Educators,Consultants & Educators. The Global Community,https://theglobal.school/wp-content/uploads/2020/12/Global-Consultants-Purpose-Driven-Community.jpg
en,page,Holistic Leadership,https://theglobal.school/holistic-leadership/,holistic-leadership,2020-09-05 10:47:29,,,,,
en,page,The Human Development Goals,https://theglobal.school/human-development-goals/,human-development-goals,2021-05-17 18:41:16,,,,,
en,page,Innovation ToolBox for CEOs &amp; Founders,https://theglobal.school/innovation-toolbox-for-ceos-and-founders/,innovation-toolbox-for-ceos-and-founders,2020-05-04 16:16:35,Innovation ToolBox for CEOs and Founders - %%sitetitle%%,"More than 10,000 tools, resources, discounts, and community. Innovation Toolbox for CEOs and Founders.","Toolbox,Innovation,CEOs,Founders,CEOs & Founders,toolbox academy,Innovation Toolbox,ai innovation toolbox,innovation management toolbox,board of innovation toolbox,user innovation toolbox,product innovation toolbox,improvement and innovation toolbox,improvement and innovation toolbox polimi,innovation toolkit examples,AI tools,ai tools list,ai tools like chatgpt,ai tools for research,ai tools for content creation,ai tools for video creation,ai tools for students,ai tools for business,ai tools directory",Social Innovation Box,https://theglobal.school/wp-content/uploads/2020/07/social-innovation-box-vanessa-landscape-banner.jpg
en,page,International Certifications & Training,https://theglobal.school/international-certifications-training/,international-certifications-training,2023-05-09 12:55:12,%%title%% %%page%%,"International Certifications & Training. The Global School for New Leadership is a multi-awarded NGO based in Vienna, Austria & Berlin, Germany.",International Certifications & Training,International Certifications & Training,
en,page,Internship Youtuber,https://theglobal.school/internship-youtuber/,internship-youtuber,2023-03-21 15:33:13,Internship Youtuber,Internship Youtuber,Pasantías Pagadas - Youtuber,Pasantías Pagadas - Youtuber,
en,page,ISO 21001 Educational Organizations Management,https://theglobal.school/iso-21001-educational-organizations-management/,iso-21001-educational-organizations-management,2023-07-10 13:47:09,%%title%% %%page%%,ISO 21001 Educational Organizations Management.,ISO 21001 Educational Organizations Management,ISO 21001 Educational Organizations Management,
en,page,Kite CRM,https://theglobal.school/kite-crm/,kite-crm,2020-09-16 10:03:19,,,,,
en,page,Latin American Networking in Vienna,https://theglobal.school/latin-american-networking-in-vienna/,latin-american-networking-in-vienna,2023-09-27 05:00:35,,,,,
en,page,Sustainability Leaders Awards,https://theglobal.school/leaders-awards/,leaders-awards,2019-07-01 21:41:59,,La generación de líderes sociales que está encabezando el cambio en América Latina. Latin America Leaders Awards,Sustainability Leaders Awards,Sustainability Leaders Awards,https://es.theglobal.school/wp-content/uploads/2021/05/Global-Team.jpg
en,page,New Leadership Lessons,https://theglobal.school/new-leadership-lessons/,new-leadership-lessons,2022-03-07 19:41:59,,New Leadership Lessons at the Global School for New Leadership,New Leadership Lessons,New Leadership Lessons,
en,page,Nominations African Leaders Awards,https://theglobal.school/nominations-african-leaders-awards/,nominations-african-leaders-awards,2023-01-23 11:17:26,,,,,
en,page,Objectives and Key Results (OKRs),https://theglobal.school/objectives-and-key-results-okrs/,objectives-and-key-results-okrs,2021-05-17 09:54:17,,,,,
en,page,Partnerships,https://theglobal.school/partnerships/,partnerships,2021-02-04 14:44:11,,,,,
en,page,Productivity Board,https://theglobal.school/productivity-board/,productivity-board,2021-05-17 09:04:12,,,,,
en,page,REGENERATIVE LEADERSHIP PODCAST,https://theglobal.school/regenerative-leadership-podcast/,regenerative-leadership-podcast,2021-04-15 14:19:17,%%title%% %%page%%,,REGENERATIVE LEADERSHIP PODCAST,REGENERATIVE LEADERSHIP PODCAST,https://theglobal.school/wp-content/uploads/2021/05/Global-Team.jpg
en,page,"Roberto Arrucha, Director &amp; Founder of The New Global School",https://theglobal.school/roberto-arrucha/,roberto-arrucha,2018-01-16 13:34:36,,,,,
en,page,Social Impact,https://theglobal.school/social-impact/,social-impact,2017-12-22 20:47:26,,,,,
en,page,Social Innovation Canvas,https://theglobal.school/social-innovation-canvas/,social-innovation-canvas,2020-09-14 14:35:50,,,,,
en,page,Social Innovation Matrix,https://theglobal.school/social-innovation-matrix/,social-innovation-matrix,2020-09-06 09:55:27,,,,,
en,page,Social Intervention Frame,https://theglobal.school/social-intervention-frame/,social-intervention-frame,2020-09-14 11:05:58,,,,,
en,page,Startups and Speakers Applications,https://theglobal.school/startups-and-speakers-applications/,startups-and-speakers-applications,2024-09-13 10:19:01,,,,,
en,page,Team Engagement,https://theglobal.school/team-engagement/,team-engagement,2020-08-24 17:51:14,,,,,
en,page,"Terms, Privacy & Policies",https://theglobal.school/terms/,terms,2017-06-08 20:42:17,,,,,
en,page,The Activist Journey,https://theglobal.school/the-activist-journey/,the-activist-journey,2020-09-15 16:14:59,,,,,
en,page,The New Global School,https://theglobal.school/,the-global-school-for-new-leadership,2019-04-25 17:33:58,%%title%% %%page%%,"We design, fundraise, plan, organise, promote, and run international events and educational programmes for businesses, NGOs, and governments.","The Global School for New Leadership,International Events,Event Organizer,Events Organizers,Event Planning,Educational Programmes,UN events,Events in United Nations,event organizer company,event planning companies,Educational Programs,International Events & Education,The New Global School",The New Global School,https://theglobal.school/wp-content/uploads/2023/03/Programas-Agu-Rob-ONU--1024x768.webp
en,page,"The New Global School. Communities, Events &amp; Education.",https://theglobal.school/the-new-global-school-communities-events-education/,the-new-global-school-communities-events-education,2025-01-22 21:21:00,,,,,
en,page,The Social Leader Storytelling,https://theglobal.school/the-social-leader-storytelling/,the-social-leader-storytelling,2020-09-16 08:43:06,,,,,
en,page,Tools for Founders,https://theglobal.school/tools-for-founders/,tools-for-founders,2025-01-20 16:21:12,,,,,
en,page,Tools,https://theglobal.school/tools2/,tools2,2020-09-05 08:13:30,,,,,
en,page,Trainers from the Global South,https://theglobal.school/trainers-from-the-global-south/,trainers-from-the-global-south,2020-01-23 22:05:09,,"Education is in a state of emergency. This is a call for researcher, entrepreneur, consultant and educator to join forces: Trainers from the Global South.",Trainers from the Global South,Trainers from the Global South,https://theglobal.school/wp-content/uploads/2020/02/Global-South-Mentors.jpg
en,page,Values,https://theglobal.school/values/,values,2020-09-16 10:40:16,,,,,
en,post,The COVID-19,https://theglobal.school/5-lessons/,5-lessons,2020-03-19 03:50:14,,It goes without saying that the mess our world is in right now is one of our own making. We all knew this would happen one day and there have been a plethora of data-backed warning interventions,The COVID-19,,
en,post,A message for Greta haters,https://theglobal.school/a-message-for-greta-haters/,a-message-for-greta-haters,2019-09-25 13:05:15,,,,A message for Greta haters,https://theglobal.school/wp-content/uploads/2019/09/GRETA-HATERS.jpg
en,post,Airbnb partners with Safe Ireland and Women’s Aid to offer free accommodation for domestic violence survivors,https://theglobal.school/airbnb-violence-survivors/,airbnb-violence-survivors,2020-06-26 17:48:54,,"Airbnb will work through its hotel partners to provide temporary accommodation, free of charge, when specialist emergency accommodation (refuge) is not available. Domestic violence services throughout the country will assess the safety needs of survivors before facilitating bookings into the temporary hotel accommodation.",violence survivors,,
en,post,"""We must end the carbon economy"": Top Economists",https://theglobal.school/carbon-economy/,carbon-economy,2020-08-07 07:42:16,%%title%% %%page%%,"""We Must end the carbon economy"". A letter signed by more than 100 economists calls to the save the planet by ending our carbon economy.",End the Carbon Economy,"""We must end the carbon economy"": Top Economists",https://theglobal.school/wp-content/uploads/2020/08/economists-call.jpg
en,post,The Case for Job/Career Jumpers,https://theglobal.school/career-jumpers/,career-jumpers,2020-05-13 18:39:07,,"The past eight weeks of the global COVID-19 crisis have shed some light on a host of socio-political realities and brought to the fore many questions centered on economic existence. Beyond the catastrophe visited upon the public health sector, COVID-19 has facilitated broad community-centered, very public discussion and evaluation of financial systems but more importantly lively dialogue of economic sustainability.",The Case for Job/Career Jumpers,,
en,post,Consulting vs Coaching. Difference,https://theglobal.school/consulting-vs-coaching-difference/,consulting-vs-coaching-difference,2020-11-24 13:06:09,%%title%% %%page%% %%sep%% TheGlobal.School,Consulting vs Coaching. Difference. This is a frequent question on how consulting business works and perform in the digital world,Consulting vs Coaching. Difference,Consulting vs Coaching. Difference.,https://theglobal.school/wp-content/uploads/2020/11/consulting-vs-coaching.jpg
en,post,Crisis in Europe. Europe’s Worst Nightmare,https://theglobal.school/crisis-in-europe-europes-worst-nightmare/,crisis-in-europe-europes-worst-nightmare,2025-02-21 08:53:01,Crisis in Europe. Europe’s Worst Nightmare,Crisis in Europe. Europe’s Worst Nightmare: The Collapse of the Trans-Atlantic Security Framework,"crisis Europe,crisis europe 2024,european crisis,crisis europe 2025,crisis european union,european crisis 2024,War Europe,war europe 2024,war europe reddit,war europe vs russia,war europe game,war europe news,war europe russia",Crisis in Europe. Europe’s Worst Nightmare,https://theglobal.school/wp-content/uploads/2025/02/Eating-European-Union.jpg
en,post,Cultural Transformation by Leaders,https://theglobal.school/cultural-transformation-by-leaders/,cultural-transformation-by-leaders,2020-11-25 12:56:44,%%title%% %%page%% %%sep%% TheGlobal.School,"Cultural Transformation by Leaders. Luis Ramirez is a purpose-driven consultant specialised in Culture, Transformation & Designing Thinking.",Cultural Transformation by Leaders,Cultural Transformation by Leaders,https://theglobal.school/wp-content/uploads/2020/11/Transforming-Culture-for-Leaders.jpg
en,post,Do Leaders need Digital Minimalism?,https://theglobal.school/digital-minimalism/,digital-minimalism,2019-07-02 13:57:54,,Digital minimalists take a step back and make clear value-based decisions which platforms they are using and why. It is this being intentional that really is a key for them so that they do not waste their time and focus on unnecessary activities.,Digital Minimalism,Leaders need more Digital Minimalism,https://theglobal.school/wp-content/uploads/2019/07/Digital-Minimalism.jpg
en,post,"Doughnut Economics, Regenerative Economy",https://theglobal.school/doughnut-economics/,doughnut-economics,2019-12-29 13:48:13,%%title%% %%sep%% %%sitename%%,"A holistic, regenerative and distributive model & principle on how we can look at economics in a 21st century way: Doughnut Economics.",Doughnut Economics,We need to tell a new story about economics,https://theglobal.school/wp-content/uploads/2019/12/Doughnut-Economics-Claudia-Winkler..jpg
en,post,Driving innovation: An Open System,https://theglobal.school/driving-innovation/,driving-innovation,2020-12-01 10:20:06,,Driving innovation through an open system.,Driving innovation,Driving innovation,https://theglobal.school/wp-content/uploads/2020/12/NKWOGU-SEBASTINE-Innovation.jpg
en,post,Will the Coronavirus help humanity survive the environmental crisis?,https://theglobal.school/environmental-crisis/,environmental-crisis,2020-03-26 18:57:20,,"The human tragedy of the coronavirus is immense. So far over 3,000 have died and more than 90,000 have been infected globally and millions have been affected. Whilst infectious disease has always been a part of the human experience, the expansion of industrial civilisation has inexorably amplified the risk of new diseases.",Will the Coronavirus help humanity survive the environmental crisis?,,
en,post,The Future is Now: European Union and Latin American (EU-LAC),https://theglobal.school/european-union-and-latin-american-eu-lac-celac/,european-union-and-latin-american-eu-lac-celac,2023-07-19 11:48:58,%%title%% %%page%%,"Despite the already known tension across the globe, the EU-LAC summit is a success because it brings two important blocs back to the table to reconcile and seek a brighter future. The Future is Now: European Union and Latin American (EU-LAC)",The Future is Now: European Union and Latin American (EU-LAC),The Future is Now: European Union and Latin American (EU-LAC),https://theglobal.school/wp-content/uploads/2023/07/The-Future-is-Now-European-Union-and-Latin-American-EU-LAC-1024x576.webp
en,post,It´s time for Impact-Driven Events.,https://theglobal.school/events-industry/,events-industry,2020-03-12 17:55:25,,"Over the last few months, the meetings industry has been impacted by a global health issue which has had the power to cancel massive events such as the Mobile World Congress Barcelona and has left people around the world questioning their interest in attending events.",It´s time for Impact-Driven Events. What Can the Events Industry Learn From the Coronavirus Crisis?,,
en,post,Five Lessons From Extinction Rebellion,https://theglobal.school/five-lessons-from-extinction-rebellion/,five-lessons-from-extinction-rebellion,2019-05-21 12:13:22,,"How the new movement for climate justice is reimagining the world by reimagining the art of protest, protection and healing. Extinction Rebellion Activism.",Extinction Rebellion,Five lessons from extinction rebellion,https://theglobal.school/wp-content/uploads/2019/05/fullsizeoutput_1c.jpeg
en,post,Happiness is expensive,https://theglobal.school/happiness-is-expensive/,happiness-is-expensive,2020-07-25 20:32:07,%%title%% %%sep%% Roberto A. Arrucha,"Happiness is expensive, exclusive and unachievable. How can we think beyond GDP? Are we ready to invest in happiness as a public policy?",Happiness is expensive,Happiness is expensive in Europe,https://theglobal.school/wp-content/uploads/2020/07/Happiness-is-expensive.jpg
en,post,Holistic Development,https://theglobal.school/holistic-development/,holistic-development,2020-07-19 12:05:53,,"Holistic Development for Planetary Wellbeing. A new holistic development paradigm should include inner, collective and planetary wellbeing: Jürgen Nagler",Holistic Development,Holistic Development for Planetary Wellbeing,https://theglobal.school/wp-content/uploads/2020/07/holistic-development.jpg
en,post,¿Cómo podemos ayudar mejor ante un desastre?,https://theglobal.school/how-can-we-help-when-a-natural-disasters-happen/,how-can-we-help-when-a-natural-disasters-happen,2023-02-06 10:50:00,%%title%% %%page%%,More people die from poor aid management than from the disaster itself. How can we help when natural disasters happen?,How can we help when natural disasters happen?,How can we help when natural disasters happen?,https://theglobal.school/wp-content/uploads/2018/06/dog-guatemala.jpg
en,post,How Civil Society Action Led to Fairer Taxation in Mexico,https://theglobal.school/how-civil-society-action-led-to-fairer-taxation-in-mexico/,how-civil-society-action-led-to-fairer-taxation-in-mexico,2020-02-10 17:21:23,,"In October 2019, following a landmark legal case, Mexico’s tax administration was forced to publish information on almost every case of tax rebate and cancellation issued from 2007 to 2015. The publication of this data, which included cases involving many of Mexico’s wealthiest and well-known personalities, sent shockwaves through Mexican society. Outraged citizens flooded social media with images of the ostentatious spending of tax-rebate recipients",How Civil Society Action Led to Fairer Taxation in Mexico,,
en,post,How consulting businesses are working online,https://theglobal.school/how-consulting-businesses-are-working-online/,how-consulting-businesses-are-working-online,2020-11-23 11:55:26,%%title%% %%page%% - TheGlobal.School,"Consulting businesses are working online succesfully. I took the challenge, and I started exploring the most efficient way of moving online.",consulting businesses are working online,How consulting businesses are working online,https://theglobal.school/wp-content/uploads/2020/11/Consulting-businesses-are-working-online-1.jpg
en,post,How to stop AI from cheating,https://theglobal.school/how-to-stop-ai-from-cheating/,how-to-stop-ai-from-cheating,2023-01-26 11:25:59,%%title%% %%page%%,"AI Managers will make sure none cheat the boss with false data, every position will move from input/output of data to more strategic decision-making. How to stop AI from cheating",How to stop AI from cheating,How to stop AI from cheating,
en,post,Journey with the Indigenous of Brazil,https://theglobal.school/journey-with-the-indigenous-of-brazil/,journey-with-the-indigenous-of-brazil,2019-10-23 16:39:19,,,Indigenous of Brazil,Indigenous of Brazil,https://theglobal.school/wp-content/uploads/2019/10/Cobra-Canoa-Brazil-Phillipe.jpg
en,post,Latin America and the Caribbean in the time of COVID-19: Preventing the vulnerable from falling behind,https://theglobal.school/latam-covid19/,latam-covid19,2020-04-07 15:55:33,,Latin America and the Caribbean in the time of COVID-19: Preventing the vulnerable from falling behind,COVID-19 in Latin America,COVID-19 in Latin America,https://theglobal.school/wp-content/uploads/2020/04/COVID-LATAM.jpg
en,post,Lessons from Indigenous to resist the crisis,https://theglobal.school/lessons-indigenous/,lessons-indigenous,2020-07-31 10:25:55,Lessons from Indigenous to resist the crisis - COVID-19,"When you are taking care of yourselves, you are taking care of everything else. Lessons from Indigenous to resist the crisis",Lessons from Indigenous to resist the crisis,Lessons from Indigenous to resist the crisis,https://theglobal.school/wp-content/uploads/2020/07/white-eagle-banner.jpg
en,post,Letter to humanity from 2050,https://theglobal.school/letter-to-humanity-from-2050/,letter-to-humanity-from-2050,2020-02-20 16:08:14,,"It is 2050. Beyond the emissions reductions registered in 2015, no further efforts were made to control emissions. We are heading for a world that will be more than 3C warmer by 2100",Letter to humanity from 2050,,
en,post,WORLD LOCALIZATION DAY,https://theglobal.school/localization-day/,localization-day,2020-06-01 18:33:34,,"For many years, humanity has been facing a slew of crises – environmental, economic, social and political – which call into question the basic tenets of the modern globalizing economy. The COVID-19 crisis in particular has revealed the inherent vulnerability of the global system, and now even the mainstream media is questioning the policies that lead countries to be so dependent on global trade.",LOCALIZATION DAY,,
en,post,Mexico announces a plan to tackle climate refugees and migration,https://theglobal.school/mexico-tackle-climate-refugees-migration/,mexico-tackle-climate-refugees-migration,2019-06-21 19:59:27,,The plan is aimed at creating immediate employment options and address problems such as the Central American dry corridor which caused one of the first forced migrations due to the consequences of climate change.,,Mexico announces a plan to tackle climate refugees and migration,https://theglobal.school/wp-content/uploads/2019/06/maxresdefault.jpg
en,post,Nature-Based Solutions to Save The World,https://theglobal.school/nature-solutions/,nature-solutions,2020-09-24 12:00:13,%%title%% %%page%% %%sep%% www.TheGlobal.School,Nature-based solutions harness the power of nature to reduce greenhouse gas emissions and help us adapt to the impacts of climate change.,Nature-based Solutions,Nature-Based Solutions to Save The World,https://theglobal.school/wp-content/uploads/2020/09/Nature-based-Solutions.jpg
en,post,New Era - The Global School for New Leadership,https://theglobal.school/new-era-the-global-school-for-new-leadership/,new-era-the-global-school-for-new-leadership,2023-06-14 15:01:08,%%title%% %%page%%,"New Era - The Global School for New Leadership. We are a multi-awarded NGO designing executive education for public & private sector leaders. Since 2010, Vienna, Berlin & Geneva.",New Era - The Global School for New Leadership,New Era - The Global School for New Leadership,https://es.theglobal.school/wp-content/uploads/2023/06/Nueva-Etapa-Nuevo-Logo-1024x576.webp
en,post,Pope endorses Gay Marriage,https://theglobal.school/pope-gay-marriage/,pope-gay-marriage,2020-10-21 14:31:23,,“Homosexuals have a right to be a part of the family. They’re children of God and have a right to a family” Pope Francis endorses Gay Marriages,Pope Gay Marriage,Pope endorses Gay Marriage,https://theglobal.school/wp-content/uploads/2020/10/Pope-Gay-Marriage.jpg
en,post,The best of 2020: Purpose-Driven Stories,https://theglobal.school/purpose-driven-stories/,purpose-driven-stories,2020-12-10 13:21:48,%%title%% %%page%% %%sep%% TheGlobal.School,"The best of 2020: Purpose-Driven Stories. More and more people want content with purpose, with value, with hope to see a change in the world.",Purpose-Driven Stories,The best of 2020: Purpose-Driven Stories,https://theglobal.school/wp-content/uploads/2020/12/purpose-driven-content.jpg
en,post,Act Fast and Do Whatever It Takes,https://theglobal.school/recommendations/,recommendations,2020-03-31 20:49:12,,"As governments around the world are coming to terms with the dire consequences of the COVID-19 pandemic, policymakers are looking for expert advice on how to mitigate the health and economic shocks their citizens must face.",Act Fast and Do Whatever It Takes,,
en,post,Is remote work a real solution?,https://theglobal.school/remote-work/,remote-work,2020-03-15 13:58:37,,Everyone rush to the online world like some kind of gold mine. As educators we´ve always said: REMOTE WORK CAN NEVER REPLACE HUMAN INTERACTION.,Remote Work,REMOTE WORK,https://theglobal.school/wp-content/uploads/2020/03/remote-work.jpg
en,post,Saudi Arabia’s clear response to the coronavirus outbreak is in stark contrast to the West,https://theglobal.school/saudi-arabias/,saudi-arabias,2020-04-01 18:38:46,,"Unlike some of its western allies, Saudi Arabia has taken the deadly coronavirus outbreak seriously from the very outset. The refusal to do the same in some governments in the West may have grave consequences for the public’s trust in their leaders, and even the protection of human rights.",Saudi Arabia’s clear response to the coronavirus outbreak is in stark contrast to the West,,
en,post,Can we build public trust by sharing power? This game could,https://theglobal.school/sharing-power-public-trust/,sharing-power-public-trust,2019-11-12 19:23:26,,"Instead of assuming that power needs to sit at the center of government and at the top of organizations we assume the opposite. We push authority to where the knowledge, expertise and wisdom sits.",Sharing Power Public Trust,Sharing power to rebuild public trust,https://theglobal.school/wp-content/uploads/2019/11/Sharing_power_to_rebuild_public_trust.jpg
en,post,7 reasons why we love Vienna,https://theglobal.school/smart-city-vienna/,smart-city-vienna,2019-09-04 16:45:43,,"7 reasons why we love Vienna, the city most liveable in the world.",Smart City Vienna,Smart City Vienna,https://theglobal.school/wp-content/uploads/2019/09/7-reasons-why-we-love-vienna-😍.png
en,post,Survive the coronavirus crisis,https://theglobal.school/survive-coronavirus/,survive-coronavirus,2020-03-13 14:45:42,,"You are not struggling cause the lack of income, you struggle due to your bills are piling up and you won’t have money to pay them. Survive the coronavirus.",survive the coronavirus,Survive the coronavirus,https://theglobal.school/wp-content/uploads/2020/03/crisis-business.jpg
en,post,The Global Covid-19 System Crisis,https://theglobal.school/system-crisis/,system-crisis,2020-03-26 17:33:09,,"Furthermore, I stressed that the markets had not anticipated the long-term disruptions of global supply chains, nor had they priced the real stress on the globalized networks as well as on the global flows of goods, people and services prior to the global outreach of the Covid-19. I concluded in mid-February that the Covid-19 pandemic would further aggravate the ongoing economic slowdown and trade stagnation and might even result in a yet unprecedented major shock to the Global System.",The Global Covid-19 System Crisis,,
en,post,How to Explain Systems Change to a 13-Year-Old,https://theglobal.school/systems-change/,systems-change,2020-07-24 08:00:51,%%title%% %%page%% %%sep%%,"Systems Change & Thinking explained to a 13-Year-Old. To find innovative solutions, we need to bring people and ideas together, often in unexpected ways.",Systems Change,How to Explain Systems Change to a 13-Year-Old,https://theglobal.school/wp-content/uploads/2020/07/system-change.jpg
en,post,Top 20: Technology & Innovation against COVID-19,https://theglobal.school/tech-vs-covid19/,tech-vs-covid19,2020-04-16 14:48:01,,"Technology can be a great ally in the midst of a pandemic crisis and hundreds of innovations are being developed worldwide due to COVID-19, the crisis is pushing to create creative solutions in all sectors..",Top 20: Innovations being developed with COVID-19,,
en,post,Tech vs Mindfulness?,https://theglobal.school/tech-vs-mindfulness/,tech-vs-mindfulness,2020-07-31 09:46:46,,"Tech vs Mindfulness. The demand for personal development skills such as confidence, stress management, and mindfulness has grown by 1200%",Tech vs Mindfulness,Tech vs Mindfulness,https://theglobal.school/wp-content/uploads/2020/07/global-skills-roberto-post-1.jpg
en,post,The battle against inequality starts in Mexico,https://theglobal.school/the-battle-against-inequality-starts-in-mexico/,the-battle-against-inequality-starts-in-mexico,2019-10-14 12:13:05,,,,The battle against inequality starts in Mexico,https://theglobal.school/wp-content/uploads/2019/10/mexico-inequality-banner.png
